SYMBOL,TICKER,NAME_OF_COMPANY,SERIES,CLOSE_PRICE,PREV_CLOSE,CHANGE_PCT,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_PER,DATE_OF_LISTING,SESSION_DATE
AURUM,AURUM.NS,Aurum PropTech Limited,EQ,219.78,221.11,-0.6015105603545803,149650,329.12,86.05,19-AUG-2015,20-Sep-2026
AURUS,AURUS.NS,AURUS GEM CORPORATION LIMITED,EQ,4.87,4.72,3.1779661016949228,15310,0.75,73.52,05-NOV-2013,20-Sep-2026
AUSL,AUSL.NS,AUSL,SM,22.2,23.05,-3.687635574837316,4000,0.91,100.0,,20-Sep-2026
AUSOMENT,AUSOMENT.NS,Ausom Enterprise Limited,EQ,152.15,149.23,1.9567111170676246,9808,14.82,60.71,17-APR-1996,20-Sep-2026
AUSTENG,AUSTENG.NS,Austin Engineering Company  Limited,EQ,131.41,127.71,2.897188943700574,2596,3.43,56.36,17-AUG-2026,20-Sep-2026
AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited,EQ,1701.2,1679.4,1.2980826485649608,4894,82.94,46.83,29-MAY-2003,20-Sep-2026
AUTOBEES,AUTOBEES.NS,AUTOBEES,EQ,282.71,282.4,0.10977337110481668,85935,242.68,46.7,,20-Sep-2026
AUTOIETF,AUTOIETF.NS,AUTOIETF,EQ,28.35,28.3,0.17667844522968448,993774,281.33,59.53,,20-Sep-2026
AUTOIND,AUTOIND.NS,Autoline Industries Limited,EQ,78.34,78.1,0.30729833546736124,88494,69.36,66.39,31-JAN-2007,20-Sep-2026
AVADHSUGAR,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,EQ,730.45,721.0,1.3106796116504917,74170,535.23,42.6,28-JUL-2017,20-Sep-2026
AVALON,AVALON.NS,Avalon Technologies Limited,EQ,2537.7,2230.0,13.798206278026898,4310981,106718.11,31.76,18-APR-2023,20-Sep-2026
AVANA,AVANA.NS,AVANA,ST,140.0,137.0,2.18978102189781,10000,13.98,100.0,,20-Sep-2026
AVANCE,AVANCE.NS,Avance Technologies Limited,EQ,0.8,0.78,2.5641025641025665,2535570,20.32,60.49,17-AUG-2026,20-Sep-2026
AVANTEL,AVANTEL.NS,Avantel Limited,EQ,147.23,146.37,0.587552094008325,619077,911.93,40.62,31-JUL-2024,20-Sep-2026
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Limited,EQ,774.45,770.85,0.4670169293636924,318512,2443.46,45.02,15-APR-2015,20-Sep-2026
AVATAR,AVATAR.NS,AVATAR,ST,208.15,218.45,-4.7150377660791865,26000,54.87,92.31,,20-Sep-2026
AVG,AVG.NS,AVG Logistics Limited,BE,170.11,170.5,-0.22873900293254334,2793,4.8,0.0,12-MAY-2023,20-Sep-2026
AVIANSH,AVIANSH.NS,AVIANSH,SM,103.0,102.5,0.4878048780487805,1000,1.03,100.0,,20-Sep-2026
AVIENCE,AVIENCE.NS,AVIENCE,SM,342.4,334.8,2.270011947431292,13800,46.68,60.87,,20-Sep-2026
AVL,AVL.NS,Aditya Vision Limited,EQ,636.95,633.25,0.5842874062376701,147990,942.02,44.0,06-NOV-2024,20-Sep-2026
AVONMORE,AVONMORE.NS,Avonmore Capital & Management Services Limited,EQ,12.46,12.02,3.6605657237936877,98361,12.1,45.78,04-JAN-2023,20-Sep-2026
AVPINFRA,AVPINFRA.NS,AVPINFRA,SM,57.5,57.8,-0.5190311418685072,13600,7.88,94.12,,20-Sep-2026
AVROIND,AVROIND.NS,AVRO INDIA LIMITED,EQ,7.94,7.84,1.2755102040816395,153863,12.12,73.21,07-APR-2022,20-Sep-2026
AVTNPL,AVTNPL.NS,AVT Natural Products Limited,EQ,85.7,85.45,0.29256875365710944,59925,51.52,57.06,10-JAN-2007,20-Sep-2026
AWFIS,AWFIS.NS,Awfis Space Solutions Limited,EQ,275.75,264.7,4.1745372119380475,539359,1462.73,45.66,30-MAY-2024,20-Sep-2026
AWHCL,AWHCL.NS,Antony Waste Handling Cell Limited,EQ,364.9,379.6,-3.872497365648062,403982,1494.95,22.68,01-JAN-2021,20-Sep-2026
AWL,AWL.NS,AWL Agri Business Limited,EQ,186.98,184.04,1.597478808954574,2593357,4831.76,59.88,08-FEB-2022,20-Sep-2026
AXISBANK,AXISBANK.NS,Axis Bank Limited,EQ,1257.0,1240.0,1.370967741935484,5693016,71135.14,81.28,16-NOV-1998,20-Sep-2026
AXISCADES,AXISCADES.NS,AXISCADES Technologies Limited,EQ,1811.2,1852.3,-2.21886303514549,286095,5256.51,44.15,21-DEC-2000,20-Sep-2026
AXITA,AXITA.NS,Axita Cotton Limited,EQ,7.99,7.99,0.0,327258,26.17,47.29,21-JUN-2022,20-Sep-2026
AXTEL,AXTEL.NS,Axtel Industries Limited,EQ,440.05,443.65,-0.8114504677110258,7910,34.81,86.36,17-AUG-2026,20-Sep-2026
AYE,AYE.NS,Aye Finance Limited,EQ,185.72,180.98,2.61907393082109,854592,1585.87,45.88,16-FEB-2026,20-Sep-2026
AYMSYNTEX,AYMSYNTEX.NS,AYM Syntex Limited,EQ,283.15,281.95,0.425607377194534,33688,94.91,62.68,14-AUG-2015,20-Sep-2026
AZAD,AZAD.NS,Azad Engineering Limited,EQ,2790.3,2605.3,7.100909684105476,700873,19246.49,40.39,28-DEC-2023,20-Sep-2026
AZADIND,AZADIND.NS,Azad India Mobility Limited,EQ,82.18,85.07,-3.3972023039849377,36707,31.19,15.99,17-AUG-2026,20-Sep-2026
BABAFP,BABAFP.NS,BABAFP,SM,23.1,23.95,-3.549060542797486,3200,0.73,100.0,,20-Sep-2026
BAFNAPH,BAFNAPH.NS,Bafna Pharmaceuticals Limited,BE,317.2,311.0,1.993569131832794,6714,21.3,0.0,27-FEB-2020,20-Sep-2026
BAGFILMS,BAGFILMS.NS,B.A.G Films and Media Limited,EQ,4.35,4.32,0.6944444444444295,58850,2.58,51.67,17-OCT-2003,20-Sep-2026
BAHETI,BAHETI.NS,BAHETI,SM,776.1,743.8,4.342565205700467,22500,171.39,66.67,,20-Sep-2026
BAIDFIN,BAIDFIN.NS,Baid Finserv Limited,EQ,10.89,10.55,3.2227488151658754,238710,26.35,35.85,20-JAN-2023,20-Sep-2026
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited,EQ,11414.0,11500.0,-0.7478260869565218,296757,33970.66,74.65,26-MAY-2008,20-Sep-2026
BAJAJCON,BAJAJCON.NS,Bajaj Consumer Care Limited,EQ,512.15,502.45,1.930540352273856,942030,4845.94,46.48,18-AUG-2010,20-Sep-2026
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Limited,EQ,323.05,325.3,-0.6916692284045497,113896,368.31,52.69,02-NOV-2007,20-Sep-2026
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Limited,EQ,1852.5,1859.2,-0.3603700516351143,719520,13380.28,70.08,26-MAY-2008,20-Sep-2026
BAJAJHCARE,BAJAJHCARE.NS,Bajaj Healthcare Limited,EQ,330.55,328.35,0.670016750418757,42148,138.77,56.96,25-NOV-2021,20-Sep-2026
BAJAJHFL,BAJAJHFL.NS,Bajaj Housing Finance Limited,EQ,85.58,82.7,3.482466747279317,5168608,4375.13,55.94,16-SEP-2024,20-Sep-2026
BAJAJHIND,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,EQ,19.53,19.38,0.7739938080495466,14869475,2864.32,22.04,10-MAY-1995,20-Sep-2026
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,EQ,11282.0,11010.0,2.4704813805631245,56100,6312.49,63.11,15-MAR-1995,20-Sep-2026
